placename,y,x,count,ID,refs
India,22,79,2,1269750,"""India"", ""the whole Peninsula"""
Madrid,40.4165, -3.70256,1,3117735,"""Madrid"""
Calcutta,22.56263,88.36304,1,1275004,"""Calcutta"""
Punjab,30.85,72.31667,1,1167710,"""the Punjab"""
Agra,27.08333,77.96667,2,1279262,"""the ancient capital of the Mogul empire"", ""the Mogul capital"""
Algeria,28,3,1,2589581,"""think how many French troops are needed in Algeria"""
Delhi,28.65195,77.23149,3,1273294,"""concentrates his forces on Delhi"""
