placename,y,x,count,ID,refs
India,22,79,8,1269750,
Asia,29.84064,89.29688,1,6255147,
Europe,48.69096,9.14062,1,6255148,
China,35,105,1,1814991,
Afghanistan,33,66,1,1149361,"""Affghanistan"""
Awadh,26.15059,81.87252,1,10591320,"""the Oude"""
Santal,32.73028,74.19225,1,1166109,"""Santal rebellion"""
Sevastopol,44.58883,33.5224,1,694423,"""Sebastopol"""
