placename,y,x,count,ID,refs
Bombay,,,2,1275339,
India,22,79,3,1269750,
Bhagalpur,25.29023,87.06665,1,1276301,"""Bhaugulpore"" gaol"
Calcutta,22.56263,88.36304,1,1275004,
Sundarbans,22,89,1,1186937,"""The Sunderbunds"""
Alipur,22.53195,88.32318,1,1279006,"""Allipore"""
Peshawur,34.008,71.57849,1,1168197,"""Peshawur"""
